ID,Name,Likes,Meal Type,Cuisines,N_ingredients,WW Smart Points,Calories (Amount),Calories (Unit),Calories (% of Daily Needs),Saturated Fat (Amount),Saturated Fat (Unit),Saturated Fat (% of Daily Needs),Sugar (Amount),Sugar (Unit),Sugar (% of Daily Needs),Sodium (Amount),Sodium (Unit),Sodium (% of Daily Needs),Protein (Amount),Protein (Unit),Protein (% of Daily Needs)
782585,Cannellini Bean and Asparagus Salad with Mushrooms,309,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],13,12,488.93,kcal,24.45,1.04,g,6.49,4.29,g,4.76,421.7,mg,18.33,32.02,g,64.03
716426,"Cauliflower, Brown Rice, and Vegetable Fried Rice",3689,"['side dish', 'antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['Chinese', 'Asian']",15,4,220.82,kcal,11.04,1.12,g,6.99,5.29,g,5.87,445.9,mg,19.39,9.03,g,18.05
715497,Berry Banana Breakfast Smoothie,689,"['morning meal', 'brunch', 'beverage', 'breakfast', 'drink']",[],5,15,457.05,kcal,22.85,2.7,g,16.88,52.28,g,58.09,400.9,mg,17.43,20.62,g,41.25
715415,Red Lentil Soup with Chicken and Turnips,1866,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],13,11,477.24,kcal,23.86,3.1,g,19.37,10.55,g,11.72,1335.78,mg,58.08,26.93,g,53.86
716406,Asparagus and Pea Soup: Real Convenience Food,207,"['antipasti', 'soup', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],8,2,452.33,kcal,22.62,1.33,g,8.34,27.99,g,31.1,25.76,mg,1.12,26.56,g,53.12
644387,Garlicky Kale,19,['side dish'],[],4,5,169.87,kcal,8.49,2.05,g,12.81,4.12,g,4.58,40.51,mg,1.76,2.11,g,4.22
715446,Slow Cooker Beef Stew,57,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],10,10,433.82,kcal,21.69,4.47,g,27.93,3.49,g,3.87,1253.65,mg,54.51,44.24,g,88.48
782601,Red Kidney Bean Jambalaya,53,"['lunch', 'main course', 'main dish', 'dinner']","['Creole', 'Cajun']",20,9,392.8,kcal,19.64,0.96,g,5.99,10.19,g,11.32,1111.47,mg,48.32,18.13,g,36.26
795751,Chicken Fajita Stuffed Bell Pepper,159,"['lunch', 'main course', 'main dish', 'dinner']",['Mexican'],12,12,546.71,kcal,27.34,7.76,g,48.51,11.02,g,12.25,750.99,mg,32.65,50.8,g,101.6
766453,Hummus and Za'atar,35,"['seasoning', 'marinade']",['Middle Eastern'],9,23,778.28,kcal,38.91,3.74,g,23.39,17.05,g,18.95,918.24,mg,39.92,33.75,g,67.51
716627,Easy Homemade Rice and Beans,471,"['side dish', 'lunch', 'main course', 'main dish', 'dinner']",[],10,10,445.69,kcal,22.28,0.7,g,4.35,7.35,g,8.17,1058.31,mg,46.01,19.14,g,38.29
664147,Tuscan White Bean Soup with Olive Oil and Rosemary,22,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],8,6,242.41,kcal,12.12,0.26,g,1.62,2.23,g,2.48,206.16,mg,8.96,16.13,g,32.27
640941,Crunchy Brussels Sprouts Side Dish,26,['side dish'],[],7,4,231.8,kcal,11.59,2.03,g,12.66,5.33,g,5.92,64.76,mg,2.82,7.94,g,15.89
715495,Turkey Tomato Cheese Pizza,910,"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['Mediterranean', 'Italian', 'European']",11,6,259.88,kcal,12.99,2.96,g,18.48,14.47,g,16.08,791.93,mg,34.43,15.09,g,30.19
794349,Broccoli and Chickpea Rice Salad,44,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],17,9,354.78,kcal,17.74,1.19,g,7.44,9.29,g,10.32,791.28,mg,34.4,15.15,g,30.29
716381,Nigerian Snail Stew,361,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],12,3,374.43,kcal,18.72,0.86,g,5.39,33.7,g,37.44,14106.87,mg,613.34,24.41,g,48.82
660306,Slow Cooker: Pork and Garbanzo Beans,22,"['lunch', 'main course', 'main dish', 'dinner']",[],8,13,586.78,kcal,29.34,3.34,g,20.85,8.63,g,9.59,914.69,mg,39.77,65.78,g,131.56
756814,Powerhouse Almond Matcha Superfood Smoothie,80,"['morning meal', 'brunch', 'beverage', 'breakfast', 'drink']",[],10,4,387.47,kcal,19.37,1.63,g,10.19,20.94,g,23.27,266.1,mg,11.57,0.34,g,1.91
715769,Broccolini Quinoa Pilaf,94,"['side dish', 'lunch', 'main course', 'main dish', 'dinner']","['Mediterranean', 'Italian', 'European']",7,17,625.07,kcal,31.25,3.32,g,20.76,6.45,g,7.16,971.81,mg,42.25,19.85,g,39.69
642129,Easy To Make Spring Rolls,22,"['fingerfood', 'antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['Vietnamese', 'Asian']",17,3,162.3,kcal,8.12,0.14,g,0.86,9.94,g,11.04,1245.27,mg,54.14,13.41,g,26.82
642605,Farro With Mushrooms and Asparagus,47,['side dish'],[],10,10,365.28,kcal,18.26,1.57,g,9.82,5.8,g,6.45,376.22,mg,16.36,12.3,g,24.59
636589,Butternut Squash Frittata,18,"['lunch', 'main course', 'morning meal', 'brunch', 'main dish', 'breakfast', 'dinner']",[],6,2,481.46,kcal,24.07,2.33,g,14.54,26.8,g,29.78,339.22,mg,14.75,24.63,g,49.26
646738,Herbivoracious' White Bean and Kale Soup,10,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],12,8,331.54,kcal,16.58,1.45,g,9.04,3.03,g,3.37,432.44,mg,18.8,16.99,g,33.98
715540,Summer Berry Salad,17,"['side dish', 'antipasti', 'salad', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],5,0,97.95,kcal,4.9,0.16,g,1.02,14.63,g,16.25,8.89,mg,0.39,2.19,g,4.37
663559,Tomato and lentil soup,11,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],10,8,340.11,kcal,17.01,1.13,g,7.08,7.6,g,8.44,377.99,mg,16.43,18.31,g,36.62
662670,Swiss Chard Wraps,14,['side dish'],[],11,3,137.29,kcal,6.86,1.64,g,10.24,2.75,g,3.05,116.2,mg,5.05,3.63,g,7.25
640062,Corn Avocado Salsa,44,"['antipasti', 'condiment', 'starter', 'snack', 'appetizer', 'dip', 'antipasto', ""hor d'oeuvre"", 'spread']",['Mexican'],6,7,237.36,kcal,11.87,2.25,g,14.06,2.32,g,2.58,13.83,mg,0.6,4.62,g,9.24
715421,Cheesy Chicken Enchilada Quinoa Casserole,9912,"['side dish', 'lunch', 'main course', 'main dish', 'dinner']",['Mexican'],17,17,622.45,kcal,31.12,9.04,g,56.52,19.29,g,21.43,2324.08,mg,101.05,35.42,g,70.83
648320,Jade Buddha Salmon Tartare,28,"['lunch', 'main course', 'main dish', 'dinner']",[],13,9,382.72,kcal,19.14,3.62,g,22.61,1.01,g,1.12,271.36,mg,11.8,34.28,g,68.56
716432,Finger Foods: Frittata Muffins #incredibleEGG,601,"['morning meal', 'brunch', 'breakfast']",[],8,19,654.73,kcal,32.74,19.26,g,120.36,5.84,g,6.49,964.99,mg,41.96,49.45,g,98.89
798400,Spicy Black-Eyed Pea Curry with Swiss Chard and Roasted Eggplant,32,"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['Indian', 'Asian']",15,2,128.72,kcal,6.44,0.34,g,2.12,7.24,g,8.05,551.5,mg,23.98,6.73,g,13.46
782600,Quinoa Salad with Vegetables and Cashews,88,"['side dish', 'antipasti', 'salad', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],15,8,309.29,kcal,15.46,3.39,g,21.2,4.23,g,4.7,37.25,mg,1.62,6.9,g,13.8
652417,Moroccan chickpea and lentil stew,11,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],16,11,465.29,kcal,23.26,0.93,g,5.84,5.03,g,5.59,758.7,mg,32.99,20.02,g,40.05
639535,Citrusy Pecan Garbanzo Couscous: A Salad For Cold Weather,41,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],14,15,613.91,kcal,30.7,2.02,g,12.65,24.59,g,27.32,262.6,mg,11.42,15.13,g,30.26
729366,Plantain Salad,126,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],12,6,607.46,kcal,30.37,3.25,g,20.33,58.8,g,65.33,201.92,mg,8.78,20.76,g,41.52
661925,Strawberry-Mango Quinoa Salad,41,"['side dish', 'antipasti', 'salad', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],14,9,372.99,kcal,18.65,2.4,g,14.99,17.46,g,19.4,211.32,mg,9.19,8.51,g,17.03
794538,Almond Joy Protein Shake,22,"['beverage', 'drink']",[],6,20,583.15,kcal,29.16,27.88,g,174.22,2.98,g,3.31,305.73,mg,13.29,27.78,g,55.55
649931,Lentil Salad With Vegetables,7,['side dish'],[],13,8,340.63,kcal,17.03,1.74,g,10.85,11.92,g,13.24,211.4,mg,9.19,15.28,g,30.56
636787,Caldo Verde - Portuguese Kale Soup,13,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],10,14,492.94,kcal,24.65,4.79,g,29.91,10.06,g,11.18,645.28,mg,28.06,19.76,g,39.52
641975,Easy Ginger Beef Broccoli,23,"['lunch', 'main course', 'main dish', 'dinner']",[],8,7,384.5,kcal,19.23,3.65,g,22.78,7.67,g,8.52,955.47,mg,41.54,48.84,g,97.68
652423,Moroccan Couscous and Chickpea Salad,72,['side dish'],[],17,14,486.66,kcal,24.33,3.34,g,20.87,3.83,g,4.25,638.74,mg,27.77,14.08,g,28.17
715447,Easy Vegetable Beef Soup,130,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],20,14,565.84,kcal,28.29,7.71,g,48.17,11.62,g,12.91,1904.11,mg,82.79,45.43,g,90.85
716311,Mango Fried Rice,262,"['side dish', 'lunch', 'main course', 'main dish', 'dinner']","['Chinese', 'Asian']",8,12,546.48,kcal,27.32,1.12,g,7.01,4.66,g,5.17,447.32,mg,19.45,19.08,g,38.16
715543,Homemade Guacamole,1330,"['antipasti', 'condiment', 'starter', 'snack', 'appetizer', 'dip', 'antipasto', ""hor d'oeuvre"", 'spread']",['Mexican'],6,5,170.13,kcal,8.51,2.15,g,13.46,1.62,g,1.81,8.48,mg,0.37,2.32,g,4.63
157344,"Spicy Salad with Kidney Beans, Cheddar, and Nuts",6,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],10,21,719.45,kcal,35.97,11.22,g,70.11,4.84,g,5.38,351.63,mg,15.29,26.74,g,53.48
658509,Roasted Broccoli with Lemon and Garlic,11,['side dish'],[],6,0,58.24,kcal,2.91,0.41,g,2.56,1.96,g,2.18,328.45,mg,14.28,3.28,g,6.57
716195,Spicy Indian-Style Hummus,161,"['antipasti', 'condiment', 'starter', 'snack', 'appetizer', 'dip', 'antipasto', ""hor d'oeuvre"", 'spread']",['Middle Eastern'],16,3,133.79,kcal,6.69,0.85,g,5.31,2.76,g,3.07,203.18,mg,8.83,5.24,g,10.48
716361,"Stir Fried Quinoa, Brown Rice and Chicken Breast",39,"['lunch', 'main course', 'main dish', 'dinner']",[],15,18,754.02,kcal,37.7,6.45,g,40.34,5.02,g,5.58,356.32,mg,15.49,57.98,g,115.95
765011,Snap Pea and Green Bean Salad with Arugula Pesto,127,['side dish'],[],15,7,314.36,kcal,15.72,2.5,g,15.63,6.08,g,6.75,215.65,mg,9.38,12.31,g,24.61
660228,Skinny Kale Basil Pesto,10,"['condiment', 'dip', 'sauce', 'spread']",[],10,2,83.5,kcal,4.18,1.09,g,6.83,0.98,g,1.09,295.22,mg,12.84,4.23,g,8.47
716408,"Greek-Style Baked Fish: Fresh, Simple, and Delicious",396,"['lunch', 'main course', 'main dish', 'dinner']","['Mediterranean', 'European', 'Greek']",15,8,557.47,kcal,27.87,3.76,g,23.52,4.18,g,4.64,422.48,mg,18.37,1.55,g,8.58
661340,Spinach Salad with Strawberry Vinaigrette,15,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],12,8,321.81,kcal,16.09,3.38,g,21.15,18.33,g,20.37,341.17,mg,14.83,22.03,g,44.05
782622,Chocolate Peanut Butter Cinnamon Smoothie,5,"['morning meal', 'brunch', 'beverage', 'breakfast', 'drink']",['Southern'],6,8,419.86,kcal,20.99,4.25,g,26.54,18.83,g,20.92,505.81,mg,21.99,27.08,g,54.16
715424,The Best Chili,32767,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",['American'],16,6,482.48,kcal,24.12,5.33,g,33.31,12.55,g,13.95,711.5,mg,30.93,57.75,g,115.49
659135,Salmon with roasted vegetables,7,"['lunch', 'main course', 'main dish', 'dinner']",[],10,10,495.53,kcal,24.78,2.78,g,17.38,10.3,g,11.44,121.03,mg,5.26,38.53,g,77.06
639851,Cod with Tomato-Olive-Chorizo Sauce and Mashed Potatoes,14,"['lunch', 'main course', 'main dish', 'dinner']",[],13,18,746.32,kcal,37.32,8.49,g,53.04,8.95,g,9.94,1556.36,mg,67.67,56.26,g,112.53
664547,Vegetable Dip,1,"['antipasti', 'condiment', 'starter', 'snack', 'appetizer', 'dip', 'antipasto', ""hor d'oeuvre"", 'spread']",[],5,4,268.12,kcal,13.41,1.87,g,11.71,14.37,g,15.97,271.94,mg,11.82,18.65,g,37.31
633921,Balsamic & Honey Glazed Salmon with Lemony Asparagus,28,"['lunch', 'main course', 'main dish', 'dinner']",[],13,8,301.22,kcal,15.06,1.85,g,11.59,12.74,g,14.16,310.27,mg,13.49,25.18,g,50.35
658579,"Roasted Endive Salad With Prosciutto, Figs and Pistachios",6,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],6,7,387.67,kcal,19.38,1.77,g,11.07,38.19,g,42.43,181.15,mg,7.88,13.89,g,27.78
715385,Slow Cooker Baked Potato Soup,992,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],11,28,884.23,kcal,44.21,14.52,g,90.75,9.08,g,10.09,1623.13,mg,70.57,34.89,g,69.79
641057,Curried Butternut Squash and Apple Soup,9,"['antipasti', 'soup', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],9,1,134.47,kcal,6.72,0.42,g,2.64,9.56,g,10.62,63.89,mg,2.78,7.47,g,14.93
655575,Penne Pasta with Broccoli and Cheese,3,"['side dish', 'lunch', 'main course', 'main dish', 'dinner']",[],9,6,269.22,kcal,13.46,0.72,g,4.53,3.56,g,3.96,102.85,mg,4.47,12.65,g,25.31
632269,Amaranth and Roast Veggie Salad,5,"['side dish', 'antipasti', 'salad', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],9,10,380.36,kcal,19.02,2.79,g,17.47,11.14,g,12.38,217.85,mg,9.47,10.06,g,20.11
637162,Carrot and Cabbage Salad With Coriander+cumin Dry Rub,4,"['side dish', 'antipasti', 'salad', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],9,3,222.26,kcal,11.11,1.12,g,7.0,14.2,g,15.78,167.29,mg,7.27,6.08,g,12.17
982371,Instant Pot Quinoa Grain Bowl,1,"['lunch', 'main course', 'main dish', 'dinner']",[],9,10,415.31,kcal,20.77,1.25,g,7.8,7.21,g,8.01,711.77,mg,30.95,16.0,g,31.99
1095753,Roasted Cauliflower Detox Bowl with Tahini Sauce,1,"['lunch', 'main course', 'main dish', 'dinner']",[],14,13,548.62,kcal,27.43,4.24,g,26.52,8.31,g,9.24,429.55,mg,18.68,18.43,g,36.87
660405,Smoky Black Bean Soup With Sweet Potato & Kale,5,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],9,8,554.93,kcal,27.75,1.17,g,7.34,16.15,g,17.95,1216.19,mg,52.88,23.32,g,46.65
715523,Chorizo and Beef Quinoa Stuffed Pepper,1254,"['lunch', 'main course', 'main dish', 'dinner']",[],12,19,1183.75,kcal,59.19,27.11,g,169.43,6.47,g,7.19,206.42,mg,8.97,94.39,g,188.78
632252,Alouette® Stuffed Mushroom Caps,11,"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],3,0,30.37,kcal,1.52,0.07,g,0.42,1.06,g,1.18,71.13,mg,3.09,1.89,g,3.79
639891,Coffee-braised Short Ribs,6,"['lunch', 'main course', 'main dish', 'dinner']",[],14,19,877.28,kcal,43.86,15.44,g,96.5,35.45,g,39.39,1933.16,mg,84.05,37.92,mg,12.64
646651,Herb chicken with sweet potato mash and sautéed broccoli,9,"['lunch', 'main course', 'main dish', 'dinner']",[],9,11,710.19,kcal,35.51,6.7,g,41.85,13.83,g,15.37,393.56,mg,17.11,46.57,g,93.14
716330,Chicken and Mango Skewer,19,"['lunch', 'main course', 'main dish', 'dinner']",[],6,4,478.53,kcal,23.93,1.85,g,11.59,58.89,g,65.44,1227.43,mg,53.37,31.21,g,62.42
640318,Crab Salad Stuffed Pita Pockets,8,[],[],8,8,417.83,kcal,20.89,0.93,g,5.79,6.52,g,7.25,1517.71,mg,65.99,38.75,g,77.5
642085,Easy Roasted Vegetables,3,['side dish'],[],7,8,360.42,kcal,18.02,0.72,g,4.52,9.1,g,10.11,268.77,mg,11.69,9.38,g,18.76
716437,Chilled Cucumber Avocado Soup with Yogurt and Kefir,171,"['antipasti', 'soup', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],9,3,188.75,kcal,9.44,1.6,g,10.02,15.25,g,16.95,263.83,mg,11.47,8.99,g,17.99
664090,Turkish Chicken Salad with Home-made Cacik Yogurt Sauce,9,"['lunch', 'main course', 'main dish', 'dinner']",[],17,13,642.89,kcal,32.14,7.36,g,46.0,16.12,g,17.91,1271.03,mg,55.26,67.08,g,134.15
636602,Butternut Squash Soup (In Half An Hour!),5,"['antipasti', 'soup', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],10,6,251.7,kcal,12.59,1.3,g,8.14,5.97,g,6.63,666.45,mg,28.98,8.73,g,17.46
716276,Doughnuts,205,"['morning meal', 'brunch', 'breakfast']",[],6,14,430.24,kcal,21.51,0.79,g,4.92,19.34,g,21.49,602.56,mg,26.2,11.36,g,22.73
649944,Lentil Mango Salad,3,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],11,5,272.22,kcal,13.61,0.97,g,6.07,17.83,g,19.81,207.18,mg,9.01,12.82,g,25.64
646043,Gujarati Dry Mung Bean Curry,3,"['lunch', 'main course', 'main dish', 'dinner']","['Indian', 'Asian']",15,11,375.59,kcal,18.78,0.68,g,4.23,19.32,g,21.46,217.18,mg,9.44,19.83,g,39.67
634437,Basil Tagliatelle with Roasted Red Bell Pepper Salad,4,"['side dish', 'antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],11,4,211.67,kcal,10.58,1.7,g,10.6,14.57,g,16.19,664.23,mg,28.88,6.73,g,13.46
655235,Peanut Butter and Jelly Smoothie,58,"['morning meal', 'brunch', 'beverage', 'breakfast', 'drink']",[],5,26,1015.79,kcal,50.79,6.91,g,43.17,106.6,g,118.45,391.29,mg,17.01,19.9,g,39.79
652393,Moosewood Lentil Soup,2,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],15,9,403.93,kcal,20.2,0.42,g,2.63,8.8,g,9.78,232.2,mg,10.1,25.65,g,51.3
640828,Crispy Panko and Herb Crusted Salmon,4,"['lunch', 'main course', 'main dish', 'dinner']",[],13,9,392.88,kcal,19.64,3.3,g,20.62,2.56,g,2.85,377.45,mg,16.41,32.67,g,65.33
769774,Shredded Roast Beef Stuffed Sweet Potatoes (Whole 30 & PALEO),4,['side dish'],[],4,2,416.69,kcal,20.83,1.92,g,12.0,9.45,g,10.5,419.33,mg,18.23,48.33,g,96.66
715533,Filet Mignon Soft Tacos,400,"['lunch', 'main course', 'main dish', 'dinner']",['Mexican'],8,13,571.1,kcal,28.56,9.46,g,59.12,0.97,g,1.08,346.16,mg,15.05,50.67,g,101.34
639411,Cilantro Lime Halibut,19,"['lunch', 'main course', 'main dish', 'dinner']",[],10,9,422.05,kcal,21.1,3.32,g,20.76,1.61,g,1.79,397.65,mg,17.29,3.09,g,17.17
636228,Broccoli Tartar,4,['side dish'],[],18,1,197.78,kcal,9.89,0.95,g,5.92,2.68,g,2.98,392.47,mg,17.06,8.92,g,17.83
661259,Spinach and Gorgonzola Stuffed Flank Steak,9,"['lunch', 'main course', 'main dish', 'dinner']",[],7,14,523.46,kcal,26.17,10.56,g,65.99,2.13,g,2.36,803.94,mg,34.95,47.0,g,94.0
664680,Vegetarian Mushroom Shepherd's Pie,11,"['antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['English', 'Scottish', 'British', 'European']",15,3,131.6,kcal,6.58,0.89,g,5.59,7.95,g,8.83,224.74,mg,9.77,7.35,g,14.7
715391,Slow Cooker Chicken Taco Soup,2182,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",['Mexican'],7,7,311.77,kcal,15.59,0.67,g,4.18,13.08,g,14.54,955.98,mg,41.56,24.33,g,48.66
636230,Broccoli with cheese soup,18,['side dish'],[],8,3,120.38,kcal,6.02,2.92,g,18.27,4.78,g,5.32,370.81,mg,16.12,7.24,g,14.47
632812,Asian Chicken and Broccoli With Chili Garlic Sauce,3,"['lunch', 'main course', 'main dish', 'dinner']",['Asian'],13,13,545.62,kcal,27.28,1.85,g,11.57,3.45,g,3.83,595.96,mg,25.91,0.43,g,2.36
633942,Balsamic Roasted Vegetables,33,['side dish'],[],8,6,289.98,kcal,14.5,2.05,g,12.81,12.29,g,13.65,78.15,mg,3.4,4.6,g,9.19
632347,Ancient Grains Bread,6,['bread'],[],13,8,284.82,kcal,14.24,0.42,g,2.6,9.91,g,11.01,132.72,mg,5.77,12.73,g,25.46
975070,Instant Pot Chicken Taco Soup,6,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",['Mexican'],12,6,345.99,kcal,17.3,1.18,g,7.38,11.93,g,13.25,887.31,mg,38.58,25.41,g,50.82
649886,Lemony Greek Lentil Soup,2,"['lunch', 'soup', 'main course', 'main dish', 'dinner']","['Mediterranean', 'European', 'Greek']",15,7,368.09,kcal,18.4,0.55,g,3.42,11.12,g,12.35,1018.77,mg,44.29,22.71,g,45.42
659927,Shrimp and Avocado Salad,8,"['side dish', 'lunch', 'main course', 'salad', 'main dish', 'dinner']",[],19,15,639.28,kcal,31.96,5.36,g,33.51,20.01,g,22.23,378.39,mg,16.45,33.99,g,67.99
716217,"Vietnamese Pancakes with Vegetables, Herbs and a Fragrant Dipping Sauce (Bánh Xèo)",295,['side dish'],"['Vietnamese', 'Asian']",28,14,394.11,kcal,19.71,13.87,g,86.7,8.05,g,8.95,490.75,mg,21.34,8.15,g,16.3
636608,"Butternut Squash, Arugula and Goat Cheese Quinoa",3,"['lunch', 'main course', 'main dish', 'dinner']",[],9,12,492.21,kcal,24.61,4.67,g,29.22,8.24,g,9.15,436.2,mg,18.97,16.43,g,32.86
